START_TIME,SIP_FROM,SIP_TO,SIP_METHOD,SIP_CSEQ,SIP_RAWMSG
2019.09.25 09:54:06,172.18.244.95(Locus),bts-tap.webex.com(MRS),"[POST] /meeting-registry/api/v1/meetings/actions/query",http.req,"{""dst"":{""payload"":""{\""ip\"":\""bts-tap.webex.com\"",\""port\"":-1}"",""type"":""MRS""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""uid\"":\""6de3e1ab-fc81-4269-8ec5-f47e664b2ea9\"",\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""path\"":\""/meeting-registry/api/v1/meetings/actions/query\"",\""method\"":\""POST\""}"",""type"":""http.req""},""src"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""time"":""2019-09-25T09:54:06.799Z""}"
2019.09.25 09:54:06,bts-tap.webex.com(MRS),172.18.244.95(Locus),"[200] /meeting-registry/api/v1/meetings/actions/query",http.res,"{""dst"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""uid\"":\""6de3e1ab-fc81-4269-8ec5-f47e664b2ea9\"",\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""path\"":\""/meeting-registry/api/v1/meetings/actions/query\"",\""status\"":200,\""method\"":\""POST\""}"",""type"":""http.res""},""src"":{""payload"":""{\""ip\"":\""bts-tap.webex.com\"",\""port\"":-1}"",""type"":""MRS""},""time"":""2019-09-25T09:54:06.917Z""}"
2019.09.25 09:54:06,172.18.244.95(Locus),bts-tap.webex.com(MRS),"[POST] /meeting-registry/api/v1/siteSettings/actions/query",http.req,"{""dst"":{""payload"":""{\""ip\"":\""bts-tap.webex.com\"",\""port\"":-1}"",""type"":""MRS""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""uid\"":\""6de3e1ab-fc81-4269-8ec5-f47e664b2ea9\"",\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""path\"":\""/meeting-registry/api/v1/siteSettings/actions/query\"",\""method\"":\""POST\""}"",""type"":""http.req""},""src"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""time"":""2019-09-25T09:54:06.918Z""}"
2019.09.25 09:54:07,bts-tap.webex.com(MRS),172.18.244.95(Locus),"[200] /meeting-registry/api/v1/siteSettings/actions/query",http.res,"{""dst"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""uid\"":\""6de3e1ab-fc81-4269-8ec5-f47e664b2ea9\"",\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""path\"":\""/meeting-registry/api/v1/siteSettings/actions/query\"",\""status\"":200,\""method\"":\""POST\""}"",""type"":""http.res""},""src"":{""payload"":""{\""ip\"":\""bts-tap.webex.com\"",\""port\"":-1}"",""type"":""MRS""},""time"":""2019-09-25T09:54:07.014Z""}"
2019.09.25 09:54:07,172.18.244.95(Locus),172.18.244.95(Locus),"[locus.state] ",locus.state,"{""dst"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""state\"":\""ACTIVE\""}"",""type"":""locus.state""},""src"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""time"":""2019-09-25T09:54:07.020Z""}"
2019.09.25 09:54:07,172.18.244.95(Locus),172.18.244.95(Cassandra),"[db.write] ",db.write,"{""dst"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Cassandra""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""commands\"":[\""Update Locus\"",\""MEDIA_SHARE_CREATED,SET_CLIENT_MEDIA_SESSIONS,LOCUS_ACTIVE,MARK_AS_TEST,ADD_CALL_LEVEL_TOGGLES,UPDATE_CONTROL_STATES,ADD_PARTICIPANT_ROLES,EXTERNAL_HOST_JOINED_STATE,ROSTER_ADDS,JOIN,UPDATE_HIDE_IN_ROSTER\""]}"",""type"":""db.write""},""src"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""time"":""2019-09-25T09:54:07.020Z""}"
2019.09.25 09:54:07,172.18.244.95(Cassandra),172.18.244.95(Locus),"[db.write] ",db.write,"{""dst"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""commands\"":[\""Update Locus\"",\""MEDIA_SHARE_CREATED,SET_CLIENT_MEDIA_SESSIONS,LOCUS_ACTIVE,MARK_AS_TEST,ADD_CALL_LEVEL_TOGGLES,UPDATE_CONTROL_STATES,ADD_PARTICIPANT_ROLES,EXTERNAL_HOST_JOINED_STATE,ROSTER_ADDS,JOIN,UPDATE_HIDE_IN_ROSTER\""],\""status\"":\""SUCCESS\""}"",""type"":""db.write""},""src"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Cassandra""},""time"":""2019-09-25T09:54:07.023Z""}"
2019.09.25 09:54:07,172.18.244.95(Locus),172.18.244.95(Locus),"[locus.state] ",locus.state,"{""dst"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""state\"":\""ACTIVE\""}"",""type"":""locus.state""},""src"":{""payload"":""{\""ip\"":\""172.18.244.95\"",\""port\"":0}"",""type"":""Locus""},""time"":""2019-09-25T09:54:07.036Z""}"
2019.09.25 09:54:07,127.0.0.1(Locus),64.68.127.36(CB),"[200] /loci/4bc3538c-1060-35aa-b85d-8430d50bc779/participant",http.res,"{""dst"":{""payload"":""{\""ip\"":\""64.68.127.36\"",\""port\"":43296}"",""type"":""CB""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""ua\"":\""wbxcb\"",\""uid\"":\""6de3e1ab-fc81-4269-8ec5-f47e664b2ea9\"",\""tid\"":\""CB_7c39be85-6b47-404b-929d-478516f70f04_0\"",\""path\"":\""/loci/4bc3538c-1060-35aa-b85d-8430d50bc779/participant\"",\""status\"":200,\""method\"":\""POST\""}"",""type"":""http.res""},""src"":{""payload"":""{\""ip\"":\""127.0.0.1\"",\""port\"":28868,\""thread\"":\""nioconnector91\""}"",""type"":""Locus""},""time"":""2019-09-25T09:54:07.042Z""}"
2019.09.25 09:54:07,172.18.248.190(CB),127.0.0.1(Locus),"[PUT] /loci/4bc3538c-1060-35aa-b85d-8430d50bc779/controls",http.req,"{""dst"":{""payload"":""{\""ip\"":\""127.0.0.1\"",\""port\"":23353,\""thread\"":\""nioconnector111\""}"",""type"":""Locus""},""id"":""lurl.https://locus-a.wbx2.com/locus/api/v1/loci/4bc3538c-1060-35aa-b85d-8430d50bc779"",""isTest"":false,""msg"":{""payload"":""{\""ua\"":\""wbxcb\"",\""uid\"":\""6de3e1ab-fc81-4269-8ec5-f47e664b2ea9\"",\""tid\"":\""CB_d6b1f946-ad4f-42c4-ad00-1a8d47d02ca1_0\"",\""path\"":\""/loci/4bc3538c-1060-35aa-b85d-8430d50bc779/controls\"",\""method\"":\""PUT\""}"",""type"":""http.req""},""src"":{""payload"":""{\""ip\"":\""172.18.248.190\"",\""port\"":44754}"",""type"":""CB""},""time"":""2019-09-25T09:54:07.354Z""}"
